Season,Game_Date,Game_Day,Type,Where,Opponent_School,Result,Tm,Opp,OT
1955,1955-01-31,Mon,REG,A,George Washington,L,73,92,NA
1955,1955-02-04,Fri,REG,A,North Carolina,W,91,68,NA
1955,1955-02-05,Sat,REG,H,West Virginia,W,115,75,NA
1955,1955-02-09,Wed,REG,A,Wake Forest,W,75,73,NA
1955,1955-02-12,Sat,REG,A,Navy,W,76,56,NA
1955,1955-02-15,Tue,REG,A,North Carolina State,L,78,84,NA
1955,1955-02-19,Sat,REG,H,Wake Forest,W,84,65,NA
1955,1955-02-22,Tue,REG,A,Virginia,W,106,92,NA
1955,1955-02-25,Fri,REG,H,North Carolina,W,96,74,NA
1955,1955-03-03,Thu,CTOURN,H,South Carolina,W,83,67,NA
1955,1955-03-04,Fri,CTOURN,H,Virginia,W,90,77,OT
1955,1955-03-05,Sat,CTOURN,A,North Carolina State,L,77,87,NA
1955,1955-03-08,Tue,NCAA,N,Villanova,L,73,74,NA
1956,1955-12-02,Fri,REG,H,Clemson,W,97,63,NA
1956,1955-12-09,Fri,REG,H,South Carolina,W,82,67,NA
1956,1955-12-10,Sat,REG,H,Georgia Tech,W,87,66,NA
1956,1955-12-16,Fri,REG,A,Pennsylvania,W,98,80,NA
1956,1955-12-17,Sat,REG,A,Villanova,W,86,76,NA
1956,1955-12-20,Tue,REG,A,Pittsburgh,W,92,54,NA
1956,1955-12-29,Thu,REG,H,Wyoming,W,71,54,NA
1956,1955-12-30,Fri,REG,N,North Carolina,L,64,74,NA
1956,1955-12-31,Sat,REG,N,Wake Forest,W,64,52,NA
1956,1956-01-04,Wed,REG,A,Wake Forest,L,71,84,NA
1956,1956-01-07,Sat,REG,H,North Carolina State,W,68,58,NA
1956,1956-01-10,Tue,REG,A,South Carolina,W,63,52,NA
1956,1956-01-11,Wed,REG,A,Clemson,W,109,80,NA
1956,1956-01-14,Sat,REG,H,Maryland,W,76,62,NA
1956,1956-02-01,Wed,REG,A,Kentucky,L,76,81,NA
1956,1956-02-04,Sat,REG,H,North Carolina,W,64,59,NA
1956,1956-02-07,Tue,REG,A,Maryland,W,82,70,NA
1956,1956-02-09,Thu,REG,H,Virginia,W,74,59,NA
1956,1956-02-11,Sat,REG,H,Wake Forest,L,77,80,NA
1956,1956-02-14,Tue,REG,A,North Carolina State,L,81,90,NA
1956,1956-02-18,Sat,REG,H,Navy,W,93,70,NA
1956,1956-02-21,Tue,REG,A,Virginia,W,92,58,NA
1956,1956-02-24,Fri,REG,A,North Carolina,L,65,73,NA
1956,1956-02-25,Sat,REG,H,George Washington,W,90,71,NA
1956,1956-03-01,Thu,CTOURN,H,Maryland,W,94,69,NA
1956,1956-03-02,Fri,CTOURN,A,North Carolina State,L,79,91,NA
1957,1956-11-30,Fri,REG,A,Georgia Tech,W,71,61,NA
1957,1956-12-04,Tue,REG,A,Clemson,W,84,78,NA
1957,1956-12-05,Wed,REG,H,South Carolina,W,104,76,NA
1957,1956-12-14,Fri,REG,A,Alabama,W,89,78,NA
1957,1956-12-15,Sat,REG,N,West Virginia,L,82,83,NA
1957,1956-12-18,Tue,REG,H,Kentucky,W,85,84,NA
1957,1956-12-27,Thu,REG,H,West Virginia,W,73,67,NA
1957,1956-12-28,Fri,REG,N,North Carolina,L,71,87,NA
1957,1956-12-29,Sat,REG,A,North Carolina State,L,80,102,NA
1957,1957-01-05,Sat,REG,H,North Carolina State,W,92,85,NA
1957,1957-01-10,Thu,REG,A,Maryland,L,51,62,NA
1957,1957-01-12,Sat,REG,H,Clemson,W,80,70,NA
1957,1957-01-29,Tue,REG,A,Wake Forest,L,59,77,NA
1957,1957-01-31,Thu,REG,H,Maryland,W,72,60,NA
1957,1957-02-02,Sat,REG,A,Navy,L,69,71,OT
1957,1957-02-05,Tue,REG,H,Pittsburgh,W,90,72,NA
1957,1957-02-09,Sat,REG,A,North Carolina,L,73,75,NA
1957,1957-02-12,Tue,REG,A,North Carolina State,L,72,79,NA
1957,1957-02-16,Sat,REG,H,Wake Forest,W,75,64,NA
1957,1957-02-19,Tue,REG,A,Virginia,L,81,90,NA
1957,1957-02-23,Sat,REG,H,South Carolina,W,94,81,NA
1957,1957-02-27,Wed,REG,H,Virginia,W,81,66,NA
1957,1957-03-01,Fri,REG,H,North Carolina,L,72,86,NA
1957,1957-03-07,Thu,CTOURN,H,South Carolina,L,81,84,NA
1958,1957-12-02,Mon,REG,A,Kentucky,L,74,78,NA
1958,1957-12-06,Fri,REG,H,Clemson,W,79,66,NA
1958,1957-12-14,Sat,REG,H,Villanova,W,60,53,NA
1958,1957-12-17,Tue,REG,A,South Carolina,L,51,62,NA
1958,1957-12-21,Sat,REG,A,Pittsburgh,L,84,87,2OT
1958,1957-12-26,Thu,REG,H,Seton Hall,W,69,62,NA
1958,1957-12-27,Fri,REG,N,North Carolina,L,62,76,NA
1958,1957-12-28,Sat,REG,N,Wake Forest,W,79,75,OT
1958,1958-01-04,Sat,REG,A,New York University,W,67,60,NA
1958,1958-01-08,Wed,REG,A,Maryland,L,49,74,NA
1958,1958-01-11,Sat,REG,H,North Carolina State,W,76,75,2OT
1958,1958-01-27,Mon,REG,H,West Virginia,W,72,68,NA
1958,1958-01-30,Thu,REG,H,Virginia,W,88,71,NA
1958,1958-02-01,Sat,REG,A,Wake Forest,W,70,56,NA
1958,1958-02-03,Mon,REG,H,South Carolina,W,61,49,NA
1958,1958-02-04,Tue,REG,H,Clemson,W,73,57,NA
1958,1958-02-08,Sat,REG,A,North Carolina,W,91,75,NA
1958,1958-02-11,Tue,REG,A,North Carolina State,W,65,48,NA
1958,1958-02-15,Sat,REG,H,Wake Forest,W,71,59,NA
1958,1958-02-19,Wed,REG,A,Navy,W,77,63,NA
1958,1958-02-21,Fri,REG,H,Maryland,W,68,59,NA
1958,1958-02-25,Tue,REG,A,Virginia,L,68,70,3OT
1958,1958-02-28,Fri,REG,H,North Carolina,W,59,46,NA
1958,1958-03-06,Thu,CTOURN,H,Wake Forest,W,51,44,NA
1958,1958-03-07,Fri,CTOURN,H,Maryland,L,65,71,OT
1959,1958-12-05,Fri,REG,A,Clemson,L,55,56,NA
1959,1958-12-08,Mon,REG,H,Kentucky,L,64,78,NA
