Season,G,Game_Date,Game_Day,Type,Where,Opponent_School,Opponent_Ranking,Conf,Result,Tm,Opp,OT,W,L,Streak,Arena
2010,11,12/19/2009,Sat,REG,N,Texas,2,Big 12,L,90,103,NA,8,3,L 1,Cowboy's Stadium
2010,12,12/22/2009,Tue,REG,H,Marshall,NA,CUSA,W,98,61,NA,9,3,W 1,Dean Smith Center
2010,13,12/28/2009,Mon,REG,H,Rutgers,NA,Big East,W,81,67,NA,10,3,W 2,Dean Smith Center
2010,14,12/30/2009,Wed,REG,H,Albany,NA,AEC,W,87,70,NA,11,3,W 3,Dean Smith Center
2010,15,1/4/2010,Mon,REG,A,College of Charleston,NA,Southern,L,79,82,OT,11,4,L 1,Carolina First Arena
2010,16,1/10/2010,Sun,REG,H,Virginia Tech,NA,ACC,W,78,64,NA,12,4,W 1,Dean Smith Center
2010,17,1/13/2010,Wed,REG,A,Clemson,24,ACC,L,64,83,NA,12,5,L 1,Littlejohn Coliseum
2010,18,1/16/2010,Sat,REG,H,Georgia Tech,20,ACC,L,71,73,NA,12,6,L 2,Dean Smith Center
2010,19,1/20/2010,Wed,REG,H,Wake Forest,NA,ACC,L,69,82,NA,12,7,L 3,Dean Smith Center
2010,20,1/26/2010,Tue,REG,A,North Carolina State,NA,ACC,W,77,63,NA,13,7,W 1,RBC Center
2010,21,1/31/2010,Sun,REG,H,Virginia,NA,ACC,L,60,75,NA,13,8,L 1,Dean Smith Center
2010,22,2/4/2010,Thu,REG,A,Virginia Tech,NA,ACC,L,70,74,NA,13,9,L 2,Cassell Coliseum
2010,23,2/7/2010,Sun,REG,A,Maryland,NA,ACC,L,71,92,NA,13,10,L 3,Comcast Center
2010,24,2/10/2010,Wed,REG,H,Duke,8,ACC,L,54,64,NA,13,11,L 4,Dean Smith Center
2010,25,2/13/2010,Sat,REG,H,North Carolina State,NA,ACC,W,74,61,NA,14,11,W 1,Dean Smith Center
2010,26,2/16/2010,Tue,REG,A,Georgia Tech,NA,ACC,L,51,68,NA,14,12,L 1,Alexander Memorial Coliseum
2010,27,2/20/2010,Sat,REG,A,Boston College,NA,ACC,L,67,71,NA,14,13,L 2,Silvio O. Conte Forum
2010,28,2/24/2010,Wed,REG,H,Florida State,NA,ACC,L,67,77,NA,14,14,L 3,Dean Smith Center
2010,29,2/27/2010,Sat,REG,A,Wake Forest,NA,ACC,W,77,68,NA,15,14,W 1,Lawrence Joel Coliseum
2010,30,3/2/2010,Tue,REG,H,Miami,NA,ACC,W,69,62,NA,16,14,W 2,Dean Smith Center
2010,31,3/6/2010,Sat,REG,A,Duke,4,ACC,L,50,82,NA,16,15,L 1,Cameron Indoor Stadium
2010,32,3/11/2010,Thu,CTOURN,N,Georgia Tech,NA,ACC,L,58,62,NA,16,16,L 2,Greensboro Coliseum
2010,33,3/16/2010,Tue,NIT,H,William & Mary,NA,CAA,W,80,72,NA,17,16,W 1,Dean Smith Center
2010,34,3/20/2010,Sat,NIT,A,Mississippi State,NA,SEC,W,76,74,NA,18,16,W 2,Humphrey Coliseum
2010,35,3/23/2010,Tue,NIT,A,Alabama-Birmingham,NA,CUSA,W,60,55,NA,19,16,W 3,Bartow Arena
2010,36,3/30/2010,Tue,NIT,N,Rhode Island,NA,A-10,W,68,67,OT,20,16,W 4,Madison Square Garden (IV)
2010,37,4/1/2010,Thu,NIT,N,Dayton,NA,A-10,L,68,79,NA,20,17,L 1,Madison Square Garden (IV)
2011,1,11/12/2010,Fri,REG,H,Lipscomb,NA,A-Sun,W,80,66,NA,1,0,W 1,Dean Smith Center
2011,2,11/18/2010,Thu,REG,N,Hofstra,NA,CAA,W,107,63,NA,2,0,W 2,NA
2011,3,11/19/2010,Fri,REG,N,Minnesota,NA,Big Ten,L,67,72,NA,2,1,L 1,NA
2011,4,11/21/2010,Sun,REG,N,Vanderbilt,NA,SEC,L,65,72,NA,2,2,L 2,Jos̩ Miguel Agrelot Coliseum
2011,5,11/23/2010,Tue,REG,H,North Carolina-Asheville,NA,Big South,W,80,69,NA,3,2,W 1,Dean Smith Center
2011,6,11/28/2010,Sun,REG,H,College of Charleston,NA,Southern,W,74,69,NA,4,2,W 2,Dean Smith Center
2011,7,11/30/2010,Tue,REG,A,Illinois,20,Big Ten,L,67,79,NA,4,3,L 1,Assembly Hall
2011,8,12/4/2010,Sat,REG,H,Kentucky,10,SEC,W,75,73,NA,5,3,W 1,Dean Smith Center
2011,9,12/8/2010,Wed,REG,A,Evansville,NA,MVC,W,76,49,NA,6,3,W 2,Roberts Stadium
2011,10,12/11/2010,Sat,REG,H,Long Beach State,NA,Big West,W,96,91,NA,7,3,W 3,Dean Smith Center
2011,11,12/18/2010,Sat,REG,N,Texas,22,Big 12,L,76,78,NA,7,4,L 1,Greensboro Coliseum
2011,12,12/21/2010,Tue,REG,H,William & Mary,NA,CAA,W,85,60,NA,8,4,W 1,Dean Smith Center
2011,13,12/28/2010,Tue,REG,N,Rutgers,NA,Big East,W,78,55,NA,9,4,W 2,NA
2011,14,1/2/2011,Sun,REG,H,Saint Francis,NA,NEC,W,103,54,NA,10,4,W 3,Dean Smith Center
2011,15,1/8/2011,Sat,REG,A,Virginia,NA,ACC,W,62,56,NA,11,4,W 4,John Paul Jones Arena
2011,16,1/13/2011,Thu,REG,H,Virginia Tech,NA,ACC,W,64,61,NA,12,4,W 5,Dean Smith Center
2011,17,1/16/2011,Sun,REG,A,Georgia Tech,NA,ACC,L,58,78,NA,12,5,L 1,Alexander Memorial Coliseum
2011,18,1/18/2011,Tue,REG,H,Clemson,NA,ACC,W,75,65,NA,13,5,W 1,Dean Smith Center
2011,19,1/26/2011,Wed,REG,A,Miami,NA,ACC,W,74,71,NA,14,5,W 2,BankUnited Center
2011,20,1/29/2011,Sat,REG,H,North Carolina State,NA,ACC,W,84,64,NA,15,5,W 3,Dean Smith Center
2011,21,2/1/2011,Tue,REG,A,Boston College,NA,ACC,W,106,74,NA,16,5,W 4,Silvio O. Conte Forum
2011,22,2/6/2011,Sun,REG,H,Florida State,NA,ACC,W,89,69,NA,17,5,W 5,Dean Smith Center
2011,23,2/9/2011,Wed,REG,A,Duke,5,ACC,L,73,79,NA,17,6,L 1,Cameron Indoor Stadium
2011,24,2/12/2011,Sat,REG,A,Clemson,NA,ACC,W,64,62,NA,18,6,W 1,Littlejohn Coliseum
2011,25,2/15/2011,Tue,REG,H,Wake Forest,NA,ACC,W,78,64,NA,19,6,W 2,Dean Smith Center
2011,26,2/19/2011,Sat,REG,H,Boston College,NA,ACC,W,48,46,NA,20,6,W 3,Dean Smith Center
2011,27,2/23/2011,Wed,REG,A,North Carolina State,NA,ACC,W,75,63,NA,21,6,W 4,RBC Center
2011,28,2/27/2011,Sun,REG,H,Maryland,NA,ACC,W,87,76,NA,22,6,W 5,Dean Smith Center
2011,29,3/2/2011,Wed,REG,A,Florida State,NA,ACC,W,72,70,NA,23,6,W 6,Donald L. Tucker Center
2011,30,3/5/2011,Sat,REG,H,Duke,4,ACC,W,81,67,NA,24,6,W 7,Dean Smith Center
2011,31,3/11/2011,Fri,CTOURN,N,Miami,NA,ACC,W,61,59,NA,25,6,W 8,NA
2011,32,3/12/2011,Sat,CTOURN,N,Clemson,NA,ACC,W,92,87,OT,26,6,W 9,NA
2011,33,3/13/2011,Sun,CTOURN,N,Duke,5,ACC,L,58,75,NA,26,7,L 1,Greensboro Coliseum
2011,34,3/18/2011,Fri,NCAA,N,Long Island University,NA,NEC,W,102,87,NA,27,7,W 1,NA
2011,35,3/20/2011,Sun,NCAA,N,Washington,23,Pac-10,W,86,83,NA,28,7,W 2,Times Warner Cable Arena
2011,36,3/25/2011,Fri,NCAA,N,Marquette,NA,Big East,W,81,63,NA,29,7,W 3,Prudential Center
2011,37,3/27/2011,Sun,NCAA,N,Kentucky,11,SEC,L,69,76,NA,29,8,L 1,NA
2012,1,11/11/2011,Fri,REG,N,Michigan State,NA,Big Ten,W,67,55,NA,1,0,W 1,USS Carl Vinson
2012,2,11/13/2011,Sun,REG,A,North Carolina-Asheville,NA,Big South,W,91,75,NA,2,0,W 2,Kimmel Arena
2012,3,11/20/2011,Sun,REG,H,Mississippi Valley State,NA,SWAC,W,101,75,NA,3,0,W 3,Dean Smith Center
2012,4,11/22/2011,Tue,REG,H,Tennessee State,NA,OVC,W,102,69,NA,4,0,W 4,Dean Smith Center
2012,5,11/25/2011,Fri,REG,N,South Carolina,NA,SEC,W,87,62,NA,5,0,W 5,NA
2012,6,11/26/2011,Sat,REG,N,Nevada-Las Vegas,NA,MWC,L,80,90,NA,5,1,L 1,Orleans Arena
2012,7,11/30/2011,Wed,REG,H,Wisconsin,9,Big Ten,W,60,57,NA,6,1,W 1,Dean Smith Center
2012,8,12/3/2011,Sat,REG,A,Kentucky,1,SEC,L,72,73,NA,6,2,L 1,Rupp Arena
2012,9,12/6/2011,Tue,REG,H,Evansville,NA,MVC,W,97,48,NA,7,2,W 1,Dean Smith Center
2012,10,12/10/2011,Sat,REG,H,Long Beach State,NA,Big West,W,84,78,NA,8,2,W 2,Dean Smith Center
2012,11,12/17/2011,Sat,REG,H,Appalachian State,NA,Southern,W,97,82,NA,9,2,W 3,Dean Smith Center
2012,12,12/19/2011,Mon,REG,H,Nicholls State,NA,Southland,W,99,49,NA,10,2,W 4,Dean Smith Center
2012,13,12/21/2011,Wed,REG,H,Texas,NA,Big 12,W,82,63,NA,11,2,W 5,Dean Smith Center
2012,14,12/29/2011,Thu,REG,H,Elon,NA,Southern,W,100,62,NA,12,2,W 6,Dean Smith Center
2012,15,1/1/2012,Sun,REG,H,Monmouth,NA,NEC,W,102,65,NA,13,2,W 7,Dean Smith Center
2012,16,1/7/2012,Sat,REG,H,Boston College,NA,ACC,W,83,60,NA,14,2,W 8,Dean Smith Center
2012,17,1/10/2012,Tue,REG,H,Miami,NA,ACC,W,73,56,NA,15,2,W 9,Dean Smith Center
2012,18,1/14/2012,Sat,REG,A,Florida State,NA,ACC,L,57,90,NA,15,3,L 1,Donald L. Tucker Center
2012,19,1/19/2012,Thu,REG,A,Virginia Tech,NA,ACC,W,82,68,NA,16,3,W 1,Cassell Coliseum
2012,20,1/26/2012,Thu,REG,H,North Carolina State,NA,ACC,W,74,55,NA,17,3,W 2,Dean Smith Center
