Season,Game_Date,Game_Day,Type,Where,Opponent_School,Result,Tm,Opp,OT
1961,1961-01-18,Wed,REG,A,North Carolina State,W,97,66,NA
1961,1961-01-31,Tue,REG,H,Clemson,W,77,46,NA
1961,1961-02-02,Thu,REG,H,Maryland,W,63,56,NA
1961,1961-02-04,Sat,REG,A,Duke,L,77,81,NA
1961,1961-02-08,Wed,REG,A,South Carolina,L,82,89,NA
1961,1961-02-11,Sat,REG,A,Wake Forest,W,93,78,NA
1961,1961-02-15,Wed,REG,H,North Carolina State,W,62,56,NA
1961,1961-02-17,Fri,REG,N,South Carolina,W,92,68,NA
1961,1961-02-18,Sat,REG,N,Clemson,W,61,55,NA
1961,1961-02-25,Sat,REG,H,Duke,W,69,66,OT
1962,1961-12-02,Sat,REG,H,Virginia,W,80,46,NA
1962,1961-12-05,Tue,REG,A,Clemson,W,54,52,NA
1962,1961-12-11,Mon,REG,H,Indiana,L,70,76,NA
1962,1962-01-06,Sat,REG,N,Notre Dame,W,99,80,NA
1962,1962-01-10,Wed,REG,A,Wake Forest,L,72,91,NA
1962,1962-01-13,Sat,REG,N,Virginia,W,100,71,NA
1962,1962-01-15,Mon,REG,H,South Carolina,W,81,73,NA
1962,1962-01-17,Wed,REG,H,North Carolina State,W,66,56,NA
1962,1962-02-03,Sat,REG,A,Duke,L,57,79,NA
1962,1962-02-06,Tue,REG,A,Maryland,L,62,79,NA
1962,1962-02-10,Sat,REG,H,Wake Forest,L,80,87,NA
1962,1962-02-14,Wed,REG,A,North Carolina State,L,57,85,NA
1962,1962-02-16,Fri,REG,N,Clemson,W,69,59,NA
1962,1962-02-17,Sat,REG,N,South Carolina,L,82,97,NA
1962,1962-02-19,Mon,REG,H,Maryland,W,70,67,NA
1962,1962-02-24,Sat,REG,H,Duke,L,74,82,NA
1962,1962-03-01,Thu,CTOURN,H,South Carolina,L,55,57,NA
1963,1962-12-01,Sat,REG,H,Georgia,W,89,65,NA
1963,1962-12-05,Wed,REG,H,Clemson,W,64,48,NA
1963,1962-12-08,Sat,REG,A,South Carolina,W,75,65,NA
1963,1962-12-15,Sat,REG,A,Indiana,L,76,90,NA
1963,1962-12-17,Mon,REG,A,Kentucky,W,68,66,NA
1963,1963-01-02,Wed,REG,H,Yale,W,86,77,NA
1963,1963-01-05,Sat,REG,A,Notre Dame,W,76,68,NA
1963,1963-01-09,Wed,REG,A,Wake Forest,L,70,78,NA
1963,1963-01-14,Mon,REG,A,Maryland,W,78,56,NA
1963,1963-01-16,Wed,REG,H,North Carolina State,W,67,65,NA
1963,1963-01-19,Sat,REG,A,Virginia,W,86,81,NA
1963,1963-02-02,Sat,REG,H,Duke,L,69,77,NA
1963,1963-02-07,Thu,REG,H,Maryland,W,82,68,NA
1963,1963-02-09,Sat,REG,H,Wake Forest,L,71,72,NA
1963,1963-02-12,Tue,REG,A,North Carolina State,W,68,63,NA
1963,1963-02-15,Fri,REG,N,South Carolina,W,78,74,NA
1963,1963-02-16,Sat,REG,N,Clemson,W,79,63,NA
1963,1963-02-20,Wed,REG,H,Virginia,W,85,73,NA
1963,1963-02-23,Sat,REG,A,Duke,L,93,106,NA
1963,1963-02-28,Thu,CTOURN,H,South Carolina,W,93,76,NA
1963,1963-03-01,Fri,CTOURN,H,Wake Forest,L,55,56,NA
1964,1963-12-02,Mon,REG,H,South Carolina,W,92,87,NA
1964,1963-12-03,Tue,REG,A,Clemson,L,64,66,NA
1964,1963-12-07,Sat,REG,H,Indiana,W,77,70,NA
1964,1963-12-09,Mon,REG,A,Kentucky,L,80,100,NA
1964,1963-12-14,Sat,REG,A,Louisiana State,W,76,71,NA
1964,1963-12-16,Mon,REG,A,Tulane,W,109,81,NA
1964,1963-12-18,Wed,REG,H,Georgia,W,99,71,NA
1964,1964-01-04,Sat,REG,N,Notre Dame,W,78,68,NA
1964,1964-01-09,Thu,REG,A,Wake Forest,L,71,80,NA
1964,1964-01-11,Sat,REG,A,Duke,L,64,84,NA
1964,1964-01-13,Mon,REG,H,Maryland,W,97,88,NA
1964,1964-01-15,Wed,REG,H,North Carolina State,W,79,71,NA
1964,1964-01-18,Sat,REG,H,Virginia Tech,L,88,90,NA
1964,1964-02-03,Mon,REG,H,Virginia,W,89,76,NA
1964,1964-02-08,Sat,REG,H,Wake Forest,W,81,73,NA
