Season,G,Game_Date,Game_Day,Type,Where,Opponent_School,Opponent_Ranking,Conf,Result,Tm,Opp,OT,W,L,Streak,Arena
1954,2,1953-12-05,Sat,REG,H,Tennessee,NA,SEC,W,101,61,NA,2,0,W 2,Cameron Indoor Stadium
1954,3,1953-12-07,Mon,REG,A,Vanderbilt,NA,SEC,L,66,71,NA,2,1,L 1,Memorial Gymnasium
1954,4,1953-12-12,Sat,REG,H,William & Mary,NA,Southern,W,109,44,NA,3,1,W 1,Cameron Indoor Stadium
1954,5,1953-12-15,Tue,REG,H,Davidson,NA,Southern,W,78,37,NA,4,1,W 2,Cameron Indoor Stadium
1954,6,1953-12-19,Sat,REG,A,West Virginia,NA,Southern,W,67,64,NA,5,1,W 3,Stansbury Hall
1954,7,1953-12-21,Mon,REG,A,Kentucky,2,SEC,L,69,85,NA,5,2,L 1,Memorial Coliseum
1954,8,1953-12-22,Tue,REG,N,UCLA,13,PCC,L,67,72,NA,5,3,L 2,Jefferson County Armory
1954,9,1953-12-28,Mon,REG,H,Oregon State,12,PCC,W,71,61,NA,6,3,W 1,Reynolds Coliseum
1954,10,1953-12-29,Tue,REG,N,Wake Forest,NA,ACC,W,83,66,NA,7,3,W 2,Reynolds Coliseum
1954,11,1953-12-30,Wed,REG,H,Navy,NA,Ind,W,98,83,NA,8,3,W 3,Reynolds Coliseum
1954,12,1954-01-02,Sat,REG,H,Virginia,NA,ACC,W,86,64,NA,9,3,W 4,Cameron Indoor Stadium
1954,13,1954-01-04,Mon,REG,A,South Carolina,NA,ACC,W,89,69,NA,10,3,W 5,Carolina Fieldhouse
1954,14,1954-01-06,Wed,REG,H,Virginia Tech,NA,Southern,W,82,45,NA,11,3,W 6,Cameron Indoor Stadium
1954,15,1954-01-09,Sat,REG,H,North Carolina State,20,ACC,W,87,85,NA,12,3,W 7,Cameron Indoor Stadium
1954,16,1954-01-12,Tue,REG,A,Wake Forest,NA,ACC,L,89,96,NA,12,4,L 1,Gore Gymnasium
1954,17,1954-01-30,Sat,REG,A,Navy,NA,Ind,W,82,65,NA,13,4,W 1,Dahlgren Hall
1954,18,1954-02-04,Thu,REG,H,North Carolina,NA,ACC,W,63,47,NA,14,4,W 2,Cameron Indoor Stadium
1954,19,1954-02-06,Sat,REG,H,George Washington,11,Southern,L,71,76,NA,14,5,L 1,Cameron Indoor Stadium
1954,20,1954-02-09,Tue,REG,A,North Carolina State,19,ACC,W,90,89,NA,15,5,W 1,Reynolds Coliseum
1954,21,1954-02-13,Sat,REG,A,Virginia Tech,NA,Southern,W,107,53,NA,16,5,W 2,War Memorial Hall
1954,22,1954-02-16,Tue,REG,A,Maryland,11,ACC,W,68,61,NA,17,5,W 3,Ritchie Gymnasium
1954,23,1954-02-20,Sat,REG,A,North Carolina,NA,ACC,W,67,63,NA,18,5,W 4,Woollen Gymnasium
1954,24,1954-02-23,Tue,REG,H,South Carolina,NA,ACC,W,89,55,NA,19,5,W 5,Cameron Indoor Stadium
1954,25,1954-02-26,Fri,REG,H,Wake Forest,NA,ACC,W,90,81,NA,20,5,W 6,Cameron Indoor Stadium
1954,26,1954-03-04,Thu,CTOURN,H,Virginia,NA,ACC,W,96,68,NA,21,5,W 7,Reynolds Coliseum
1954,27,1954-03-05,Fri,CTOURN,N,North Carolina State,18,ACC,L,75,79,NA,21,6,L 1,Reynolds Coliseum
1955,1,1954-12-03,Fri,REG,H,Clemson,NA,ACC,W,115,54,NA,1,0,W 1,Cameron Indoor Stadium
1955,2,1954-12-07,Tue,REG,A,Maryland,NA,ACC,L,47,49,NA,1,1,L 1,Ritchie Gymnasium
1955,3,1954-12-10,Fri,REG,H,South Carolina,NA,ACC,W,95,55,NA,2,1,W 1,Cameron Indoor Stadium
1955,4,1954-12-14,Tue,REG,A,Davidson,NA,Southern,W,107,75,NA,3,1,W 2,Johnston Gym
1955,5,1954-12-17,Fri,REG,H,Maryland,NA,ACC,W,68,61,NA,4,1,W 3,Cameron Indoor Stadium
1955,6,1954-12-20,Mon,REG,A,Pittsburgh,NA,Ind,W,90,68,NA,5,1,W 4,Fitzgerald Fieldhouse
1955,7,1954-12-27,Mon,REG,H,West Virginia,12,Southern,W,92,79,NA,6,1,W 5,Reynolds Coliseum
1955,8,1954-12-28,Tue,REG,H,Minnesota,NA,Big Ten,L,73,79,NA,6,2,L 1,Raleigh Memorial Auditorium
1955,9,1954-12-29,Wed,REG,N,North Carolina,NA,ACC,L,52,65,NA,6,3,L 2,Raleigh Memorial Auditorium
1955,10,1955-01-03,Mon,REG,H,Florida State,NA,NA,W,97,75,NA,7,3,W 1,Cameron Indoor Stadium
1955,11,1955-01-05,Wed,REG,H,Temple,NA,Ind,W,81,64,NA,8,3,W 2,Cameron Indoor Stadium
1955,12,1955-01-08,Sat,REG,H,North Carolina State,3,ACC,L,91,96,NA,8,4,L 1,Cameron Indoor Stadium
1955,13,1955-01-11,Tue,REG,A,Clemson,NA,ACC,W,75,66,NA,9,4,W 1,Clemson Field House
1955,14,1955-01-12,Wed,REG,A,South Carolina,NA,ACC,W,82,64,NA,10,4,W 2,Carolina Fieldhouse
1955,15,1955-01-15,Sat,REG,H,Virginia,NA,ACC,W,109,89,NA,11,4,W 3,Cameron Indoor Stadium
1955,16,1955-01-31,Mon,REG,A,George Washington,6,Southern,L,73,92,NA,11,5,L 1,Washington-Lee High School Gym
1955,17,1955-02-04,Fri,REG,A,North Carolina,NA,ACC,W,91,68,NA,12,5,W 1,Woollen Gymnasium
1955,18,1955-02-05,Sat,REG,H,West Virginia,NA,Southern,W,115,75,NA,13,5,W 2,Cameron Indoor Stadium
